S.NO,IDEAS,INVESTMENT-MIN,INVESTMENT-MAX,RISK,PLACE
1,BLOGGING,10000,25000,LOW,ONLINE
2,WEBSITE DESIGNING,10000,25000,LOW,ONLINE
3,COFFEE PROCESSING,25001,50000,LOW,COORG
4,CANDEL MAKING,25001,50000,LOW,ANYWHERE
5,EBOOK  PUBLISHING CONSULTANT,25001,50000,MEDIUM,ONLINE
6,FISH PROCESSING,10000,25000,MEDIUM,KOLKATA
7,HONEY PRODUCTION,25001,50000,MEDIUM,NORTH EAST
8,FRESH JUICE AND SHAKES,25001,50000,LOW,TAMILNADU
9,SOLAR OFFICE,50001,100000,HIGH,SOUTH WEST
10,PEST CONTROL SERVICE,100001,1500000,MEDIUM,UP
11,ACCOUNTING COMPANY,100001,1500000,HIGH,ANYWHERE
12,HOME RENEWATION SERVICE,100001,1500000,MEDIUM,CITIES
13,CAR CHARGING STATION,100001,1500000,HIGH,TAMILNADU
14,MUSHROOM PROCESSING,10000,25000,MEDIUM,EAST
15,HOLOGRAPHIC THEATRE,100001,1500000,HIGH,CITIES
16,TATOO ARTIST,25001,50000,LOW,ANYWHERE
17,HOME CLEANING SERVICE,25001,50000,MEDIUM,CITIES
18,MUG PRINTING,25001,100000,LOW,ANYWHERE
19,FLOUR MILLING,25001,50000,MEDIUM,HARYANA
20,SELL GARMENTS,100001,1500000,MEDIUM,ONLINE
21,VERTICAL ARGICULTURE,50001,100000,MEDIUM,ANDHRA PRADESH
22,POLTRY FOR EGGS,50001,100000,MEDIUM,ANDHRA PRADESH
23,3D PRINTING,50001,100000,MEDIUM,CITIES
